userId,date,go2bed,asleep,wakeup,wakeup@night,waso,sleep_duration,in_bed_duration,sleep_latency,sleep_efficiency
vc10,2021-03-28,00:30:00,01:00:00,11:50:00,1,60.0,10.833333333333334,11.333333333333334,0.5,0.9558823529411765
vc10,2021-03-29,00:30:00,01:30:00,08:10:00,0,0.0,6.666666666666667,7.666666666666667,1.0,0.8695652173913043
vc10,2021-03-30,00:00:00,01:00:00,08:10:00,0,0.0,7.166666666666667,8.166666666666666,1.0,0.8775510204081634
vc10,2021-03-31,00:00:00,00:50:00,08:10:00,1,1.0,7.333333333333333,8.166666666666666,0.8333333333333334,0.8979591836734694
vc10,2021-04-01,00:00:00,01:00:00,08:10:00,0,0.0,7.166666666666667,8.166666666666666,1.0,0.8775510204081634
vc10,2021-04-02,02:00:00,03:00:00,08:30:00,0,0.0,5.5,6.5,1.0,0.8461538461538461
vc10,2021-04-03,23:30:00,00:30:00,09:30:00,0,0.0,9.0,10.0,1.0,0.9
vc10,2021-04-04,03:00:00,03:30:00,11:40:00,1,10.0,8.166666666666666,8.666666666666666,0.5,0.9423076923076923
vc10,2021-04-05,01:00:00,01:30:00,08:20:00,0,0.0,6.833333333333333,7.333333333333333,0.5,0.9318181818181818
pg18,2021-03-09,00:00:00,00:00:00,08:55:00,1,60.0,8.916666666666666,8.916666666666666,0.0,1.0
pg18,2021-03-10,03:00:00,03:15:00,07:35:00,0,0.0,4.333333333333333,4.583333333333333,0.25,0.9454545454545454
pg18,2021-03-11,00:45:00,01:00:00,08:30:00,1,120.0,7.5,7.75,0.25,0.967741935483871
pg18,2021-03-12,00:00:00,00:00:00,08:00:00,1,180.0,8.0,8.0,0.0,1.0
pg18,2021-03-13,00:30:00,00:30:00,08:00:00,0,0.0,7.5,7.5,0.0,1.0
pg18,2021-03-14,23:30:00,00:00:00,10:30:00,1,60.0,10.5,11.0,0.5,0.9545454545454546
pg18,2021-03-15,23:30:00,00:30:00,07:30:00,1,60.0,7.0,8.0,1.0,0.875
pg18,2021-03-16,00:00:00,01:00:00,05:30:00,0,0.0,4.5,5.5,1.0,0.8181818181818182
pg18,2021-03-17,23:00:00,23:00:00,05:20:00,0,0.0,6.333333333333333,6.333333333333333,0.0,1.0
pg18,2021-03-18,23:00:00,23:20:00,04:30:00,0,0.0,5.166666666666667,5.5,0.3333333333333333,0.9393939393939394
pg18,2021-03-19,23:30:00,23:30:00,08:00:00,1,60.0,8.5,8.5,0.0,1.0
pg18,2021-03-20,23:00:00,23:30:00,09:30:00,1,2.0,10.0,10.5,0.5,0.9523809523809523
pg18,2021-03-21,23:00:00,23:30:00,08:55:00,1,60.0,9.416666666666666,9.916666666666666,0.5,0.9495798319327731
pg18,2021-03-22,23:00:00,23:00:00,05:20:00,1,60.0,6.333333333333333,6.333333333333333,0.0,1.0
pg18,2021-03-23,22:30:00,23:00:00,06:00:00,0,0.0,7.0,7.5,0.5,0.9333333333333333
pg18,2021-03-24,23:00:00,23:00:00,06:00:00,0,0.0,7.0,7.0,0.0,1.0
pg18,2021-03-25,22:30:00,23:00:00,08:00:00,1,180.0,9.0,9.5,0.5,0.9473684210526315
pg18,2021-03-26,23:00:00,23:00:00,06:00:00,1,20.0,7.0,7.0,0.0,1.0
pg18,2021-03-27,01:00:00,01:00:00,09:00:00,1,60.0,8.0,8.0,0.0,1.0
pg18,2021-03-28,23:15:00,23:15:00,09:50:00,0,0.0,10.583333333333334,10.583333333333334,0.0,1.0
pg18,2021-03-29,23:00:00,23:15:00,05:00:00,0,0.0,5.75,6.0,0.25,0.9583333333333334
pg18,2021-03-30,23:30:00,23:30:00,09:30:00,1,20.0,10.0,10.0,0.0,1.0
pg18,2021-03-31,22:30:00,00:30:00,05:10:00,0,0.0,4.666666666666667,6.666666666666667,2.0,0.7000000000000001
pg18,2021-04-01,00:00:00,00:00:00,08:00:00,0,0.0,8.0,8.0,0.0,1.0
pg18,2021-04-02,00:00:00,00:10:00,06:00:00,0,0.0,5.833333333333333,6.0,0.16666666666666666,0.9722222222222222
pg18,2021-04-03,00:00:00,00:00:00,08:00:00,0,0.0,8.0,8.0,0.0,1.0
pg18,2021-04-04,21:00:00,21:00:00,09:30:00,1,180.0,12.5,12.5,0.0,1.0
pg18,2021-04-05,23:00:00,00:00:00,08:00:00,1,180.0,8.0,9.0,1.0,0.8888888888888888
nd56,2021-03-09,22:00:00,22:20:00,08:20:00,1,90.0,10.0,10.333333333333334,0.3333333333333333,0.9677419354838709
nd56,2021-03-10,00:00:00,00:15:00,08:45:00,0,0.0,8.5,8.75,0.25,0.9714285714285714
nd56,2021-03-11,18:50:00,19:00:00,06:35:00,1,120.0,11.583333333333334,11.75,0.16666666666666666,0.9858156028368795
nd56,2021-03-12,22:50:00,23:00:00,07:55:00,1,75.0,8.916666666666666,9.083333333333334,0.16666666666666666,0.9816513761467889
nd56,2021-03-13,23:55:00,00:30:00,09:55:00,1,90.0,9.416666666666666,10.0,0.5833333333333334,0.9416666666666667
nd56,2021-03-14,23:45:00,00:00:00,12:10:00,1,120.0,12.166666666666666,12.416666666666666,0.25,0.9798657718120806
nd56,2021-03-15,01:30:00,01:45:00,08:00:00,1,15.0,6.25,6.5,0.25,0.9615384615384616
nd56,2021-03-16,00:30:00,00:50:00,08:00:00,1,30.0,7.166666666666667,7.5,0.3333333333333333,0.9555555555555556
nd56,2021-03-17,00:30:00,00:45:00,04:10:00,1,90.0,3.4166666666666665,3.6666666666666665,0.25,0.9318181818181818
nd56,2021-03-18,00:30:00,01:40:00,08:00:00,1,30.0,6.333333333333333,7.5,1.1666666666666667,0.8444444444444444
nd56,2021-03-19,19:30:00,19:35:00,09:00:00,1,240.0,13.416666666666666,13.5,0.08333333333333333,0.9938271604938271
nd56,2021-03-20,16:00:00,16:10:00,08:00:00,1,360.0,15.833333333333334,16.0,0.16666666666666666,0.9895833333333334
nd56,2021-03-21,00:30:00,00:40:00,09:00:00,1,30.0,8.333333333333334,8.5,0.16666666666666666,0.9803921568627452
nd56,2021-03-22,02:00:00,02:10:00,08:20:00,1,20.0,6.166666666666667,6.333333333333333,0.16666666666666666,0.9736842105263159
nd56,2021-03-23,23:45:00,23:55:00,08:00:00,1,15.0,8.083333333333334,8.25,0.16666666666666666,0.9797979797979799
nd56,2021-03-24,23:20:00,23:30:00,08:00:00,1,70.0,8.5,8.666666666666666,0.16666666666666666,0.9807692307692308
nd56,2021-03-25,23:45:00,23:50:00,07:55:00,1,120.0,8.083333333333334,8.166666666666666,0.08333333333333333,0.989795918367347
nd56,2021-03-26,03:00:00,03:05:00,09:20:00,0,0.0,6.25,6.333333333333333,0.08333333333333333,0.986842105263158
nd56,2021-03-27,02:00:00,02:05:00,09:20:00,0,0.0,7.25,7.333333333333333,0.08333333333333333,0.9886363636363636
nd56,2021-03-28,03:00:00,03:05:00,10:00:00,0,0.0,6.916666666666667,7.0,0.08333333333333333,0.9880952380952381
nd56,2021-03-29,03:20:00,03:25:00,08:30:00,0,0.0,5.083333333333333,5.166666666666667,0.08333333333333333,0.9838709677419354
nd56,2021-03-30,00:00:00,00:05:00,08:30:00,1,180.0,8.416666666666666,8.5,0.08333333333333333,0.9901960784313725
nd56,2021-03-31,00:05:00,00:10:00,10:20:00,1,60.0,10.166666666666666,10.25,0.08333333333333333,0.991869918699187
nd56,2021-04-01,23:55:00,00:05:00,08:00:00,1,120.0,7.916666666666667,8.083333333333334,0.16666666666666666,0.979381443298969
nd56,2021-04-02,23:40:00,23:50:00,07:30:00,1,60.0,7.666666666666667,7.833333333333333,0.16666666666666666,0.9787234042553192
nd56,2021-04-03,03:20:00,03:30:00,08:00:00,1,30.0,4.5,4.666666666666667,0.16666666666666666,0.9642857142857142
nd56,2021-04-04,02:00:00,02:10:00,12:50:00,1,180.0,10.666666666666666,10.833333333333334,0.16666666666666666,0.9846153846153846
nd56,2021-04-05,01:30:00,01:35:00,08:10:00,0,0.0,6.583333333333333,6.666666666666667,0.08333333333333333,0.9874999999999999
vs14,2021-03-09,01:00:00,02:30:00,09:11:00,0,0.0,6.683333333333334,8.183333333333334,1.5,0.8167006109979633
vs14,2021-03-10,01:00:00,03:00:00,09:22:00,1,8.0,6.366666666666666,8.366666666666667,2.0,0.7609561752988047
vs14,2021-03-11,21:50:00,22:00:00,08:25:00,1,180.0,10.416666666666666,10.583333333333334,0.16666666666666666,0.9842519685039369
vs14,2021-03-12,23:45:00,02:30:00,09:33:00,0,0.0,7.05,9.8,2.75,0.7193877551020408
vs14,2021-03-13,00:00:00,01:00:00,11:05:00,1,,10.083333333333334,11.083333333333334,1.0,0.9097744360902256
vs14,2021-03-14,01:00:00,02:30:00,11:05:00,0,0.0,8.583333333333334,10.083333333333334,1.5,0.8512396694214877
vs14,2021-03-15,02:00:00,02:30:00,09:50:00,1,5.0,7.333333333333333,7.833333333333333,0.5,0.9361702127659575
vs14,2021-03-16,03:10:00,04:10:00,10:02:00,1,5.0,5.866666666666666,6.866666666666666,1.0,0.8543689320388349
vs14,2021-03-17,02:00:00,02:30:00,10:35:00,1,10.0,8.083333333333334,8.583333333333334,0.5,0.941747572815534
vs14,2021-03-18,22:06:00,22:06:00,08:12:00,1,180.0,10.1,10.1,0.0,1.0
